Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,degree,No_of_neighbors,Our_test_score
 CWEN,SVM,-1,-1,linear,-1,0.6016260162601627,90,0.5,1,-1,87
 CWEN,KNN,-1,-1,canberra,11,0.6341463414634146,90,-1,-1,-1,83
 CWEN,RF,10,10,0,-1,0.6434782608695652,100,-1,-1,-1,60
 CWEN,SVM,-1,-1,rbf,-1,0.6173913043478261,100,10,1,-1,70
 CWEN,KNN,-1,-1,euclidean,11,0.6434782608695652,100,-1,-1,-1,63
 ABR,RF,20,30,0,-1,0.5610738255033557,10,-1,-1,-1,6
 ABR,SVM,-1,-1,poly,-1,0.5785234899328859,10,0.5,2,-1,6
 ABR,KNN,-1,-1,euclidean,11,0.5288590604026846,10,-1,-1,-1,5
 ABR,RF,20,10,0,-1,0.4694708276797829,20,-1,-1,-1,8
 ABR,SVM,-1,-1,poly,-1,0.4735413839891452,20,0.5,4,-1,8
 ABR,KNN,-1,-1,euclidean,11,0.4626865671641791,20,-1,-1,-1,10
 ABR,RF,10,10,0,-1,0.5212620027434842,30,-1,-1,-1,14
 ABR,SVM,-1,-1,poly,-1,0.5185185185185185,30,0.5,3,-1,17
 ABR,KNN,-1,-1,chebyshev,11,0.4897119341563786,30,-1,-1,-1,19
 ABR,RF,30,10,0,-1,0.5201109570041609,40,-1,-1,-1,36
 ABR,SVM,-1,-1,linear,-1,0.5256588072122053,40,0.5,1,-1,40
 ABR,KNN,-1,-1,euclidean,11,0.4535367545076283,40,-1,-1,-1,24
 ABR,RF,20,20,0,-1,0.5469845722300141,50,-1,-1,-1,34
 ABR,SVM,-1,-1,linear,-1,0.5610098176718092,50,0.5,1,-1,33
 ABR,KNN,-1,-1,euclidean,11,0.520336605890603,50,-1,-1,-1,31
 ABR,RF,40,20,0,-1,0.5758865248226951,60,-1,-1,-1,27
 ABR,SVM,-1,-1,poly,-1,0.5914893617021276,60,0.5,4,-1,27
 ABR,KNN,-1,-1,canberra,11,0.5517730496453901,60,-1,-1,-1,27
 ABR,RF,50,20,0,-1,0.5810616929698709,70,-1,-1,-1,45
 ABR,SVM,-1,-1,rbf,-1,0.5868005738880918,70,10,1,-1,44
 ABR,KNN,-1,-1,chebyshev,11,0.5681492109038737,70,-1,-1,-1,45
 ABR,RF,30,50,0,-1,0.555878084179971,80,-1,-1,-1,59
 ABR,SVM,-1,-1,linear,-1,0.5645863570391872,80,0.5,1,-1,61
 ABR,KNN,-1,-1,chebyshev,11,0.49056603773584906,80,-1,-1,-1,41
 ABR,RF,30,50,0,-1,0.5447870778267254,90,-1,-1,-1,76
 ABR,SVM,-1,-1,poly,-1,0.5580029368575624,90,0.5,3,-1,85
 ABR,KNN,-1,-1,euclidean,11,0.5580029368575624,90,-1,-1,-1,65
 ABR,RF,40,40,0,-1,0.5616641901931649,100,-1,-1,-1,83
 ABR,SVM,-1,-1,linear,-1,0.5601783060921248,100,0.5,1,-1,100
 ABR,KNN,-1,-1,canberra,11,0.5453194650817236,100,-1,-1,-1,75
 INXN,RF,50,30,0,-1,0.6129032258064516,10,-1,-1,-1,7
 INXN,SVM,-1,-1,poly,-1,0.6228287841191067,10,5,2,-1,7
 INXN,KNN,-1,-1,canberra,11,0.6178660049627791,10,-1,-1,-1,7
 INXN,RF,40,20,0,-1,0.42025316455696204,20,-1,-1,-1,10
 INXN,SVM,-1,-1,poly,-1,0.44556962025316454,20,100,1,-1,7
 INXN,KNN,-1,-1,euclidean,11,0.39746835443037976,20,-1,-1,-1,8
 INXN,RF,10,40,0,-1,0.4470284237726098,30,-1,-1,-1,25
 INXN,SVM,-1,-1,linear,-1,0.48320413436692505,30,0.5,1,-1,26
 INXN,KNN,-1,-1,euclidean,11,0.4134366925064599,30,-1,-1,-1,18
 INXN,RF,50,40,0,-1,0.5224274406332454,40,-1,-1,-1,33
 INXN,SVM,-1,-1,rbf,-1,0.5488126649076517,40,1,1,-1,36
 INXN,KNN,-1,-1,euclidean,11,0.49868073878627966,40,-1,-1,-1,31
 INXN,RF,30,10,0,-1,0.5660377358490566,50,-1,-1,-1,32
 INXN,SVM,-1,-1,poly,-1,0.555256064690027,50,10,3,-1,32
 INXN,KNN,-1,-1,chebyshev,11,0.5471698113207547,50,-1,-1,-1,33
 INXN,RF,50,30,0,-1,0.5840220385674931,60,-1,-1,-1,19
 INXN,SVM,-1,-1,linear,-1,0.5895316804407713,60,0.5,1,-1,17
 INXN,KNN,-1,-1,canberra,11,0.5289256198347108,60,-1,-1,-1,20
