Stock,Algorithm,Estimators,Depth,Metric,No_of_features,Model_Score,Future_day,Our_test_score
 BKE,KNN,0,0,hamming,0,0.3810110974106042,10,7
 BHP,KNN,0,0,hamming,0,0.38594327990135635,10,9
 BIG,KNN,0,0,euclidean,0,0.5228113440197287,10,9
 BMI,KNN,0,0,chebyshev,0,0.4975,10,7
 BGX,KNN,0,0,hamming,0,0.8603603603603603,20,20
 BIP,KNN,0,0,hamming,0,0.4779220779220779,20,15
 BFO,KNN,0,0,hamming,0,0.9061433447098977,20,20
 BGX,KNN,0,0,manhattan,0,0.8691588785046729,30,20
 BKE,KNN,0,0,canberra,0,0.6039850560398505,20,15
 BFS,KNN,0,0,chebyshev,0,0.48941469489414696,20,15
 BHP,KNN,0,0,euclidean,0,0.5628891656288917,20,12
 BIG,KNN,0,0,chebyshev,0,0.5516811955168119,20,13
 BMI,KNN,0,0,braycurtis,0,0.5315656565656566,20,14
 BIP,KNN,0,0,manhattan,0,0.6657824933687002,30,14
 BFO,KNN,0,0,hamming,0,0.8944636678200693,30,30
 BGX,KNN,0,0,manhattan,0,0.883495145631068,40,25
 BIP,KNN,0,0,euclidean,0,0.6449864498644986,40,29
 BFS,KNN,0,0,hamming,0,0.4238993710691824,30,22
 BKE,KNN,0,0,hamming,0,0.43647798742138366,30,14
 BHP,KNN,0,0,canberra,0,0.640251572327044,30,18
 BIG,KNN,0,0,hamming,0,0.4490566037735849,30,20
 BMI,KNN,0,0,braycurtis,0,0.5956632653061225,30,12
 BGX,KNN,0,0,hamming,0,0.4292929292929293,50,31
 BFO,KNN,0,0,hamming,0,0.8070175438596491,40,40
 BIP,KNN,0,0,hamming,0,0.5207756232686981,50,32
 BGX,KNN,0,0,hamming,0,0.5368421052631579,60,35
 BFS,KNN,0,0,hamming,0,0.44599745870393903,40,21
 BKE,KNN,0,0,chebyshev,0,0.5692503176620076,40,22
 BIG,KNN,0,0,euclidean,0,0.5959339263024143,40,30
 BHP,KNN,0,0,manhattan,0,0.6315120711562897,40,27
 BMI,KNN,0,0,chebyshev,0,0.5824742268041238,40,30
 BFO,KNN,0,0,chebyshev,0,0.8380782918149466,50,50
 BIP,KNN,0,0,braycurtis,0,0.7223796033994334,60,36
 BGX,KNN,0,0,hamming,0,0.5054945054945055,70,44
 BFO,KNN,0,0,chebyshev,0,0.8321299638989169,60,60
 BKE,KNN,0,0,hamming,0,0.55198973042362,50,28
 BFS,KNN,0,0,chebyshev,0,0.5622593068035944,50,31
